Robust_Candidate_Rank,Node_ID,Gene_Symbol,Prediction_Score_Mean,Prediction_Score_SD,Rank_Mean_Across_Seeds,Rank_SD_Across_Seeds,Top100_Frequency_Across_Seeds,Top500_Frequency_Across_Seeds,Clinical_Target_Label,Top_Cell_Type,Top_Cell_Type_Z,Attention_PPI_Mean,Attention_CellTypeSimilarity_Mean,Attention_Pathway_Mean,Score_Drop_Remove_PPI,Score_Drop_Remove_CellTypeSimilarity,Score_Drop_Remove_Pathway,Attention_PPI_SD,Attention_PPI_Q2.5,Attention_PPI_Q97.5,Attention_CellTypeSimilarity_SD,Attention_CellTypeSimilarity_Q2.5,Attention_CellTypeSimilarity_Q97.5,Attention_Pathway_SD,Attention_Pathway_Q2.5,Attention_Pathway_Q97.5,Score_Drop_Remove_PPI_SD,Score_Drop_Remove_PPI_Q2.5,Score_Drop_Remove_PPI_Q97.5,Score_Drop_Remove_CellTypeSimilarity_SD,Score_Drop_Remove_CellTypeSimilarity_Q2.5,Score_Drop_Remove_CellTypeSimilarity_Q97.5,Score_Drop_Remove_Pathway_SD,Score_Drop_Remove_Pathway_Q2.5,Score_Drop_Remove_Pathway_Q97.5,STRING_Degree,STRING_Weighted_Degree,Cell-type similarity_Degree,Cell-type similarity_Weighted_Degree,Pathway_Degree,Pathway_Weighted_Degree,Degree_Residualized_Score,STRING_Degree_Percentile,Is_Top5pct_STRING_Hub,Is_Ribosomal_or_Mitochondrial_Structural,Is_Canonical_Housekeeping_Panel,Robust_Eligibility,Residual_Score_Percentile,Rank_Stability_Percentile,Robustness_Score,Paired_Patients,Normal_Median,Tumor_Median,Median_Paired_Difference,Difference_CI_Lower,Difference_CI_Upper,Rank_Biserial_Effect,Wilcoxon_P,Wilcoxon_FDR,Early_N,Late_N,Early_Median,Late_Median,Late_Minus_Early_Median,Cliffs_Delta_Late_vs_Early,Mann_Whitney_P,Mann_Whitney_FDR
1,3469,CCDC80,0.9163087,0.018532185,207.6,123.11620526965572,0.3,1.0,0,Fibroblasts,3.73132224973834,0.16654462,0.70655066,0.1269048,0.15927069,-0.06003865,-0.014477551,0.19908835,1.6291046990688125e-08,0.5033621914684773,0.3493613,0.082317491993308,0.999565540254116,0.21458144,6.628773207921768e-05,0.5752870030701162,0.19402298,0.0,0.4265068896114826,0.03450548,-0.104963032901287,9.092092514038484e-05,0.029426506,-0.0736661344766616,0.0070523783564567,1,0.8059999942779541,10,9.996539771556854,0,0.0,0.5367887644039095,0.4851400781444842,False,False,False,True,0.9847451991021696,0.999376506775293,0.992216726244908,58,10.587299999999999,11.45285,0.7751999999999999,0.2226499999999998,1.4028725000000006,0.4494447691408533,0.0029114781648799603,0.004159254521257086,397,110,10.6962,10.6654,-0.030799999999999272,-0.007350583924891185,0.9063245328647705,0.9063245328647705
2,11424,LUM,0.9700983,0.036398925,64.0,124.57215668929484,0.9,1.0,0,Fibroblasts,3.7413580905767496,0.13598892,0.77419746,0.08981367,0.12230499,-0.024375457,-0.0026992082,0.16753775,7.074164992560556e-08,0.4452150337398053,0.326998,0.1048748193308711,0.9999711751937866,0.16991694,1.1363490273197383e-06,0.4499100916087628,0.16817805,-9.238719940185548e-08,0.422612339258194,0.029947488,-0.0851900696754455,0.0054308384656906,0.005156337,-0.0136554643511772,0.0001279920339584,46,38.65099984407425,3,2.9998403787612915,0,0.0,0.3784334703124983,0.9216476847618256,False,False,False,True,0.9704879873638708,0.9992102419153712,0.985046554160778,58,13.2635,13.6829,0.29100000000000037,-0.15560000000000151,0.7929674999999964,0.2846288720046756,0.05939450950979841,0.0698758935409393,397,110,13.2453,13.02045,-0.22485,-0.09267231509045115,0.136786909835087,0.273573819670174
3,5496,CTSG,0.9239806,0.04370774,157.7,123.5709872457483,0.3,1.0,0,Mast,3.741359450679936,0.26459983,0.6197432,0.11565691,0.26534078,0.08255497,-0.013900369,0.2428624,1.8875552171948584e-05,0.6716928347945214,0.3038669,0.0588896103203296,0.9567462578415872,0.12142537,0.000179221207145,0.356434977427125,0.22601199,1.7902255058288576e-05,0.5833661392331123,0.23852581,-0.0767509132623672,0.5766993105411531,0.012419724,-0.0374261438846588,-0.0001198425889015,32,28.24299991130829,9,8.999089777469635,0,0.0,0.3307374762845368,0.8721631058275834,False,False,False,True,0.9610524565633052,0.9992518081303516,0.9803391803142406,58,5.78905,3.91775,-1.6596,-2.46765,-1.2047999999999999,-0.8866160140268848,4.290879645337005e-09,1.0727199113342512e-08,397,110,3.822,3.11375,-0.70825,-0.18529883215021759,0.00292513523855883,0.01553380091720213
4,11899,MFAP2,0.89311874,0.03862978,295.0,147.5473558632015,0.1,1.0,0,Fibroblasts,3.61290166988532,0.25963414,0.5947417,0.14562415,0.21823244,0.058311094,-0.025103778,0.24550405,0.003736820715676,0.6966965846717359,0.30260116,0.0584595918655395,0.9169285535812378,0.15013123,0.0011534201621543,0.4295615337789059,0.22851755,-0.001501615345478,0.5506820827722549,0.2236187,-0.108951199054718,0.5125912591814996,0.018648054,-0.0516176611185073,-0.0008237347006797,16,14.196999967098236,10,9.973446428775787,0,0.0,0.3300213085380781,0.7696608196857594,False,False,False,True,0.960844625488403,0.9979632554659572,0.9799131266106909,58,7.706049999999999,9.34955,1.7173499999999997,1.0953499999999998,2.0654,0.9263588544710696,8.47259547781922e-10,2.420741565091206e-09,397,110,9.0592,9.060400000000001,0.001200000000000756,-0.022830318296313212,0.714166630209538,0.8020705922170703
5,7537,FMOD,0.89828956,0.026168687,270.6,109.3152424057241,0.2,1.0,0,Fibroblasts,3.726872644951348,0.2470351,0.6046233,0.14834163,0.199725,0.07073081,-0.0276169,0.23335226,0.0034617264693224,0.6523960068821908,0.29973915,0.0701230719685554,0.9108561754226684,0.15019111,0.0013200461748056,0.4301195904612542,0.22567335,-0.0006778508424758,0.5416052520275116,0.24062464,-0.1050058618187904,0.5621289998292924,0.02112359,-0.0540548220276832,-0.0009843975305557,17,14.545000076293944,11,10.99582451581955,0,0.0,0.3214110193865001,0.7783897248316568,False,False,False,True,0.9589741458142822,0.9997090364951368,0.9794143320309252,58,10.76735,10.742049999999999,-0.00354999999999972,-0.4548500000000004,0.36159999999999926,-0.03565166569257744,0.8133227837956033,0.8133227837956033,397,110,10.4291,10.313600000000001,-0.11549999999999905,-0.049988550492328865,0.4223204896765972,0.5630939862354629
6,3970,CFP,0.8990509,0.04825993,272.6,165.17546226160025,0.3,1.0,0,pDC,2.635429076013598,0.18949111,0.65618587,0.15432301,0.24383494,0.0075731995,-0.013056695,0.18693747,6.59815448500467e-06,0.5401726685464383,0.30273384,0.0711933091282844,0.94399621039629,0.1943695,8.407753957726528e-05,0.5546073615550996,0.21432896,6.468594074249268e-06,0.5323294252157211,0.17618348,-0.1280389592051506,0.3889968365430833,0.018280884,-0.0502653509378433,0.0053022161126136,22,17.325000047683716,9,8.726548254489899,0,0.0,0.3101442643324444,0.8160694987114473,False,False,False,True,0.9559398121207084,0.9965500041566216,0.9771074070995096,58,8.157499999999999,5.89555,-2.35765,-2.6308999999999996,-2.051799999999999,-0.9929865575686733,4.796327819478128e-11,1.9185311277912512e-10,397,110,5.7296,5.44105,-0.28854999999999986,-0.10441950996107163,0.09363784109896968,0.2340946027474242
7,13638,PALMD,0.89239514,0.035681687,306.9,159.32109436955017,0.1,0.9,0,Endothelial,3.7170805558707567,0.23077004,0.6213604,0.14786948,0.20000295,0.015013817,-0.01882128,0.20678158,0.0076609490410191,0.566595134139061,0.29945332,0.0744131956249475,0.9210709646344184,0.16029835,0.0011240622814511,0.4578993186354638,0.22486018,-0.0036550879478454,0.5330694615840912,0.1758833,-0.12594625800848,0.3803122051060201,0.016054196,-0.0377271130681037,-0.0006350398063659,0,0.0,11,10.989848911762238,0,0.0,0.7656440614679911,0.2287596641449829,False,False,False,True,0.998753013550586,0.9970487987363872,0.97363870645939,58,9.8336,7.8137,-1.9612000000000003,-2.3789,-1.6649500000000002,-0.9988310929281122,3.6945689265359235e-11,1.9185311277912512e-10,397,110,7.5504,7.44295,-0.10745000000000005,-0.10478589420654916,0.09249204158716959,0.2340946027474242
8,11676,MASP1,0.9089305,0.04795108,211.9,145.9889265207011,0.3,1.0,0,Fibroblasts,3.05154223862494,0.21338315,0.64049035,0.14612651,0.24286608,0.05325315,-0.017019605,0.21214487,2.7298142549625484e-05,0.6061797440052034,0.30818003,0.0636724509298801,0.9448079064488412,0.18583041,8.476922121190001e-05,0.5341565579175951,0.22647338,2.599507570266724e-05,0.5531014680862427,0.21066111,-0.1058320462703704,0.4978452861309053,0.016421705,-0.0493498593568801,-7.587820291519153e-05,18,15.865000069141388,12,11.978349566459656,13,0.464183896780014,0.2618118035719076,0.7863912212153962,False,False,False,True,0.9381494721090696,0.9980048216809376,0.9685759414747692,58,8.350999999999999,4.8774999999999995,-3.67845,-4.28525,-2.9098025000000036,-0.9964932787843367,4.1018362800959493e-11,1.9185311277912512e-10,397,110,4.9187,4.6685,-0.2502000000000004,-0.029516830776276648,0.6357530013739162,0.7946912517173952
9,4726,CST2,0.91514826,0.06403501,226.7,313.04988952774494,0.4,0.9,0,Fibroblasts,3.739934025587589,0.25009716,0.6127573,0.13714549,0.26794326,0.12914774,-0.023088027,0.25462168,2.324149891386185e-06,0.7495996303856374,0.3192843,0.0466804545372724,0.9572638764977456,0.16718206,4.651763065339765e-05,0.4803101688623429,0.24259445,3.983080387115479e-06,0.6006074458360672,0.2901722,-0.0944985374808311,0.682566373050213,0.02883535,-0.0834397211670875,-5.4232776165008464e-05,4,3.405000030994416,3,2.9990617632865906,0,0.0,0.4681344649035889,0.5939604289633386,False,False,False,True,0.9796325546595728,0.9760994263862331,0.9588411339263448,58,1.81055,4.550050000000001,1.6831999999999998,0.7713999999999999,2.939,0.6949152542372882,4.167966715231518e-06,6.94661119205253e-06,397,110,4.4596,4.3402,-0.11939999999999973,-0.06574307304785898,0.29123263485960416,0.48538772476600694
10,917,ACTA2,0.8887499,0.022993233,316.4,135.91680461877323,0.0,0.9,0,Fibroblasts,3.734602587393539,0.18188985,0.65002865,0.16808146,0.20105343,-0.04749461,-0.016294653,0.19797386,1.2180982593163608e-08,0.5076266892254353,0.30727315,0.0947903372347354,0.98612709492445,0.19984798,0.0003007592953508,0.5602563396096231,0.20336294,1.3411045074462893e-08,0.4765026025474072,0.08472042,-0.1262652069330215,0.130692932009697,0.040624417,-0.0967649489641189,0.0221546992659568,37,31.01900005340576,1,0.9990009665489196,0,0.0,0.3277265351336307,0.8939230193698562,False,False,False,True,0.9602626984786764,0.9986698811206252,0.9547988195194944,58,12.237,12.3778,-0.027849999999999042,-0.378000000000001,0.3122499999999997,-0.03915838690824079,0.7953508100036336,0.8133227837956033,397,110,11.9479,11.879850000000001,-0.0680499999999995,-0.06059079459583239,0.33072031243713185,0.5088004806725105
